Category,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Live meat animals,"1,189.7","1,419","1,771.2","1,723.9","1,276.7","1,134.3","1,672",2172,"2,588","2,266.4","1,655.5","2,007.1","1,886.5","2,192","2,190.2","3,008.6","2,772.5","2,102.9","2,020"
Meats,"3,260.5","3,827.7","4,256.2","4,283.5","4,426.8","5,718.5","5,751.9",5243.6,"5,367.3","5,059.8","4,612.1","5,087.8","5,755.2","6,245.2","6,529.8","8,940.4","9,991.7","8,589.1","8,877.6"
Fish and shellfish,"8,859.8","9,879.8","9,663.3","9,963.3","10,859.9","11,106.3","11,840.2",13112.13,"13,434.6","13,912","12,933.9","14,516.7","16,459.4","16,467.5","17,784.3","20,053.5","18,520.8","19,260.7","21,324.1"
Dairy,930.3,922.3,995.8,"1,008.8","1,110.3","1,292.3","1,388.4",1405.7,"1,500.8","1,595.6","1,353.4","1,347.2","1,502.1","1,604.2","1,649.1","1,844.3","1,893.5","1,875.8","1,827.2"
Vegetables,"3,631.6","3,771.4","4,156.6","4,391.1","5,082.4","5,730","6,043.1",6619.3,"7,256","7,800.6","7,525.2","8,705.6","9,666.6","9,945.6","10,733.5","10,929.7","11,290.2","12,469.2","12,743"
Fruits,"4,764.5","4,629.5","4,665.2","5,067.6","5,557.7","5,962.4","6,873.8",7707.1,"9,217.3","9,888.2","9,639.8","10,649","11,973.9","12,537.9","13,602.3","14,807.7","15,954.9","17,157","18,383.1"
Nuts,793.9,808.7,670.2,700.5,775.6,"1,078.4","1,121.9",1099.4,"1,181.4","1,350.7","1,278.3","1,461.7","1,863.2","1,999.6","2,000.2","2,360.5","2,767.3","2,870.8","3,300.6"
"Coffee, tea, and spices","3,603.7","3,441.8","2,400.7","2,455","2,871.9","3,144.3","3,770.8",4194.9,"4,791.2","5,580.8","5,160.3","6,265","9,715.8","8,725.7","7,633.2","8,298.8","8,536.2","8,310.9","9,068.8"
Grains,"2,659.5","2,734.8","2,989.8","3,342.8","3,618.2","4,010.5","4,240.7",4910.1,"5,914.8","7,689.6","6,846.1","7,137.5","8,062.8","9,111.1","10,257","10,030.9","10,030.2","10,178.6","10,860.8"
Vegetable oils,"1,356.9","1,362.5","1,177","1,301.6","1,506.5","2,241","2,362.6",2818.3,"3,516.7","5,694.6","4,039.4","4,508.8","6,793.6","6,235.9","6,664.5","7,336.6","6,304","6,521.6","7,224.7"
Sugar and candy,"1,617.7","1,571.6","1,580.9","1,842.6","2,130.8","2,111.3","2,473.7",3021.2,"2,606.2","3,011","3,081.2","4,107.4","5,207.4","4,783.5","4,327.4","4,582.3","4,705.3","4,693.2","4,720.5"
Cocoa and chocolate,"1,522.5","1,404.5","1,535.9","1,760.9","2,439.2","2,484.4","2,750.6",2659.2,"2,661.6","3,298.8","3,476.2","4,295.2","4,680.6","4,095.7","4,158.8","4,728","4,859.7","5,080.6","5,006.5"
Other edible products,"2,121.5","2,101.7","2,252","2,482","3,637.2","4,784.4","5,536.4",5963.1,"6,080","6,700.8","6,111.3","6,781.6","8,133.2","10,977.6","9,831","9,715.8","9,591.6","9,351","10,133.9"
Beverages,"4,411.8","4,815.9","5,101.3","5,794.7","6,597.5","7,024.3","7,887.5",9212.1,"9,912.7","9,832.9","8,721","9,262.8","10,142.9","10,858.5","11,247.6","11,964","12,785.7","13,492.9","14,382.9"
Liquors,"2,381.9","2,725.5","2,847","3,091.1","3,438.2","3,709.2","4,089.9",4511.5,"5,047.7","5,040.4","4,787","5,189","5,733.8","6,023","6,391.7","6,587.5","6,774.2","7,165.1","7,362.9"
